filename,L (cm3),W (cm3),H (cm3),Volume (m3),Material Types,Density (kg/m3),Service Temperature (??C),Ultimate Tensile (psi),Unit Cost ($/kg),Tolerance,Tolerance Scaling Factor (Unitless),Process Scaling Factor (Unitless),Time (unitless),Cost (unitless),Quantity (Ea),Supplier,LogScaled_Tolerance,LogScaled_Time,LogScaled_Cost,LogScaled_Quantity,LogScaled_Density,LogScaled_Service_Temperature,LogScaled_Ultimate_Tensile,Category
Bearing_1_Ball__1.binvox,1.588,1.581,1.584,0.003976835,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.865305397,1.10897304,0.351380497,1.998946881,0.451045758,-1.296408234,0.532124041,Bearing_Ball
Bearing_1_Ball__10.binvox,1.334,1.327,1.33,0.00235439,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.865338772,1.110896301,0.360615869,1.998395528,0.448611204,-1.303330342,0.521910929,Bearing_Ball
Bearing_1_Ball__3.binvox,1.667,1.666,1.667,0.004629629,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.857044607,1.101286651,0.349369918,2.006010745,0.46445698,-1.306390479,0.535157186,Bearing_Ball
Bearing_1_Ball__4.binvox,1.667,1.66,1.664,0.004604654,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.857542224,1.102522741,0.353543202,2.012850787,0.452723575,-1.299315624,0.538503362,Bearing_Ball
Bearing_1_Ball__5.binvox,1.667,1.66,1.664,0.004604654,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.84887333,1.118005162,0.363841729,2.014592805,0.46358851,-1.310037295,0.536617485,Bearing_Ball
Bearing_1_Ball__7.binvox,1.667,1.666,1.667,0.004629629,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.848523109,1.102777883,0.35445811,2.007965712,0.460912878,-1.293425578,0.526057345,Bearing_Ball
Bearing_1_Ball__8.binvox,1.667,1.66,1.664,0.004604654,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.864339066,1.104479959,0.351135258,2.008304416,0.459672728,-1.299422125,0.528763289,Bearing_Ball
Bearing_1_Cage__1.binvox,7.176,7.117,1.773,0.090549933,Polyamid,1100,131.0,10993.86,4730,50,2,1.0,2.0,9460.0,4,"1,19",0.651924109,-1.241160251,-0.974447191,0.112133692,-2.784419068,-1.199810933,-1.922294321,Bearing_Cage
Bearing_1_Cage__10.binvox,6.027,5.955,1.489,0.053441379,Polyamid,1100,131.0,10993.86,4730,50,2,1.0,2.0,9460.0,4,"1,19",0.667803769,-1.232876957,-0.982343206,0.098106518,-2.777748616,-1.19808638,-1.915147781,Bearing_Cage
Bearing_1_Cage__3.binvox,7.534,7.444,1.867,0.10470714,Polyamid,1100,131.0,10993.86,4730,50,2,1.0,2.0,9460.0,4,"1,19",0.667333106,-1.245475269,-0.987836086,0.110460339,-2.783162494,-1.199441025,-1.922732877,Bearing_Cage
Bearing_1_Cage__4.binvox,7.534,7.444,1.864,0.104538891,Polyamid,1100,131.0,10993.86,4730,50,2,1.0,2.0,9460.0,4,"1,19",0.658037654,-1.242410766,-0.983514654,0.098833788,-2.778932413,-1.194839652,-1.90675013,Bearing_Cage
Bearing_1_Cage__5.binvox,7.534,7.444,1.862,0.104426725,Polyamid,1100,131.0,10993.86,4730,50,2,1.0,2.0,9460.0,4,"1,19",0.66756753,-1.240323459,-0.975634966,0.104496029,-2.775144387,-1.200056037,-1.917672442,Bearing_Cage
Bearing_1_Cage__7.binvox,7.534,7.444,1.867,0.10470714,Polyamid,1100,131.0,10993.86,4730,50,2,1.0,2.0,9460.0,4,"1,19",0.655224061,-1.244320986,-0.987040708,0.104794252,-2.780078541,-1.201656047,-1.918824434,Bearing_Cage
Bearing_1_Cage__8.binvox,7.534,7.444,1.864,0.104538891,Polyamid,1100,131.0,10993.86,4730,50,2,1.0,2.0,9460.0,4,"1,19",0.652207822,-1.236842073,-0.974045295,0.101644458,-2.791919824,-1.198596635,-1.909776034,Bearing_Cage
Bearing_1_InnerRing__1.binvox,5.08,5.079,3.969,0.102405439,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.847499298,1.279398173,0.445647254,-0.67687682,0.464987255,-1.300193231,0.524920795,Bearing_InnerRing
Bearing_1_InnerRing__10.binvox,4.267,4.264,2.494,0.045377053,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.852973309,1.288742652,0.456559508,-0.690994841,0.465149354,-1.308481871,0.532677684,Bearing_InnerRing
Bearing_1_InnerRing__3.binvox,5.334,5.334,4.167,0.118557634,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.864941874,1.280484592,0.442626464,-0.688665419,0.457773967,-1.303487136,0.52132709,Bearing_InnerRing
Bearing_1_InnerRing__4.binvox,5.334,5.333,7.317,0.208141006,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.866508828,1.286900343,0.454446307,-0.680008693,0.454309675,-1.303042656,0.522991453,Bearing_InnerRing
Bearing_1_InnerRing__5.binvox,5.334,5.333,6.477,0.18424618,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.851795159,1.275006936,0.451733949,-0.682393136,0.449933989,-1.299716908,0.532205163,Bearing_InnerRing
Bearing_1_InnerRing__7.binvox,5.334,5.334,3.117,0.0886835,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.864122869,1.271454909,0.450015929,-0.691017521,0.453851166,-1.299878679,0.539196743,Bearing_InnerRing
Bearing_1_InnerRing__8.binvox,5.334,5.333,3.117,0.088666874,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.864542638,1.279018634,0.440828696,-0.676328794,0.457479411,-1.300449642,0.533765442,Bearing_InnerRing
Bearing_1_OuterRing__1.binvox,9.525,9.522,3.969,0.359976591,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.853144621,1.271712129,0.438042394,-0.685871228,0.46480667,-1.305894812,0.527359095,Bearing_OuterRing
Bearing_1_OuterRing__10.binvox,10.478,10.478,2.494,0.273812479,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.865473925,1.271868255,0.441970167,-0.683085757,0.453915499,-1.29865568,0.524638642,Bearing_OuterRing
Bearing_1_OuterRing__3.binvox,10.0,10.0,4.167,0.4167,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.860973002,1.276757157,0.442593077,-0.693091985,0.45596158,-1.310107331,0.525750713,Bearing_OuterRing
Bearing_1_OuterRing__4.binvox,10.0,10.0,7.317,0.7317,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.866722503,1.272967137,0.441683202,-0.677098811,0.46594654,-1.308967803,0.536428032,Bearing_OuterRing
Bearing_1_OuterRing__5.binvox,10.001,9.998,6.477,0.647635217,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.85192473,1.289008634,0.450714057,-0.694840685,0.461613247,-1.301655861,0.527519282,Bearing_OuterRing
Bearing_1_OuterRing__7.binvox,10.0,10.0,3.117,0.3117,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.85065119,1.284082307,0.457745358,-0.687913581,0.455339165,-1.299622478,0.525797337,Bearing_OuterRing
Bearing_1_OuterRing__8.binvox,11.048,11.049,3.117,0.38049017,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.858280782,1.282356571,0.44745638,-0.677435592,0.454830714,-1.307470397,0.537327682,Bearing_OuterRing
Bearing_2_Ball__1.binvox,2.779,2.773,2.772,0.021361495,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.863229802,1.105582936,0.353791464,2.000076973,0.466349425,-1.291378162,0.537273633,Bearing_Ball
Bearing_2_Ball__10.binvox,2.529,2.529,2.529,0.016175082,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.858696318,1.119730106,0.368584715,2.005047007,0.466572743,-1.306975309,0.536074648,Bearing_Ball
Bearing_2_Ball__3.binvox,2.779,2.773,2.768,0.02133067,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.867156999,1.11302155,0.368609775,2.002686138,0.455402054,-1.293252188,0.527281445,Bearing_Ball
Bearing_2_Ball__4.binvox,2.779,2.773,2.768,0.02133067,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.863717385,1.110435662,0.354112116,2.005755695,0.451648728,-1.292563397,0.524602106,Bearing_Ball
Bearing_2_Ball__5.binvox,2.779,2.779,2.779,0.021461775,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.853537315,1.112188239,0.360785823,2.012763816,0.449629129,-1.300447143,0.521437641,Bearing_Ball
Bearing_2_Ball__7.binvox,3.612,3.612,3.612,0.047124117,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.850567411,1.117497673,0.357747379,2.004325978,0.450039336,-1.2995114,0.520074743,Bearing_Ball
Bearing_2_Ball__8.binvox,1.806,1.806,1.806,0.005890515,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.851592103,1.113586326,0.350201089,2.010530062,0.46378105,-1.308117676,0.538957683,Bearing_Ball
Bearing_2_InnerRing__1.binvox,11.71,11.709,6.35,0.870663677,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.863969782,1.287966512,0.438035358,-0.68208346,0.451419356,-1.297055584,0.529591186,Bearing_InnerRing
Bearing_2_InnerRing__10.binvox,10.656,10.651,5.778,0.65578599,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.856154183,1.287784997,0.447936624,-0.68158806,0.452042824,-1.301599826,0.525664989,Bearing_InnerRing
Bearing_2_InnerRing__3.binvox,11.71,11.705,8.55,1.171910453,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.848602012,1.28204615,0.440235564,-0.676322527,0.453580508,-1.308714589,0.534415954,Bearing_InnerRing
Bearing_2_InnerRing__4.binvox,11.71,11.705,6.35,0.870366243,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.847506267,1.276784383,0.448400865,-0.677758011,0.451449334,-1.303567248,0.525124785,Bearing_InnerRing
Bearing_2_InnerRing__5.binvox,11.71,11.704,6.35,0.870291884,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.854748934,1.270798015,0.450072187,-0.690061132,0.45118105,-1.307180379,0.534810183,Bearing_InnerRing
Bearing_2_InnerRing__7.binvox,15.224,15.222,9.555,2.214273101,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.858951928,1.278915739,0.455043503,-0.693377574,0.466524396,-1.298264845,0.531253269,Bearing_InnerRing
Bearing_2_InnerRing__8.binvox,7.612,7.611,4.778,0.276813105,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.851093893,1.290034205,0.451400049,-0.688532288,0.459228774,-1.291915578,0.537805799,Bearing_InnerRing
Bearing_2_OuterRing__1.binvox,17.45,17.444,6.35,1.93292603,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.865871427,1.270671535,0.448836268,-0.695447648,0.44662579,-1.299465297,0.525450877,Bearing_OuterRing
Bearing_2_OuterRing__10.binvox,18.197,18.199,5.778,1.913484099,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.865791779,1.278894032,0.441519801,-0.683442875,0.461230159,-1.310571569,0.526465741,Bearing_OuterRing
Bearing_2_OuterRing__3.binvox,17.447,17.448,8.55,2.602750439,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.863719931,1.272423984,0.455985297,-0.690499533,0.454851768,-1.307545294,0.526258926,Bearing_OuterRing
Bearing_2_OuterRing__4.binvox,18.0,17.994,6.35,2.0567142,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.862150136,1.276493894,0.442789897,-0.688569724,0.454962227,-1.292263927,0.526305255,Bearing_OuterRing
Bearing_2_OuterRing__5.binvox,19.997,19.998,6.35,2.539365038,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.852473775,1.286032315,0.444413275,-0.693260357,0.452334272,-1.293755771,0.530236998,Bearing_OuterRing
Bearing_2_OuterRing__7.binvox,25.996,25.998,9.555,6.457689496,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.856842049,1.279649247,0.451732838,-0.677365252,0.461421305,-1.292789046,0.531078517,Bearing_OuterRing
Bearing_2_OuterRing__8.binvox,12.998,12.999,4.778,0.807295668,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.860680124,1.278860139,0.447488336,-0.677996049,0.447768444,-1.303615613,0.528079954,Bearing_OuterRing
Bearing_3_Ball__1.binvox,2.987,2.987,2.987,0.026650519,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.864897336,1.103255618,0.364333164,2.006921525,0.465402849,-1.307327482,0.524839351,Bearing_Ball
Bearing_3_Ball__10.binvox,5.973,5.961,5.958,0.212134906,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.851569308,1.118842922,0.363497244,2.00697559,0.454074145,-1.297228516,0.524827634,Bearing_Ball
Bearing_3_Ball__3.binvox,3.285,3.283,2.983,0.032170626,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.861924601,1.118744847,0.366026327,2.002852923,0.453544471,-1.29359788,0.525065588,Bearing_Ball
Bearing_3_Ball__4.binvox,2.389,2.389,2.986,0.017042061,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.865328656,1.107804249,0.363701694,2.01293768,0.452870061,-1.298552759,0.519901221,Bearing_Ball
Bearing_3_Ball__5.binvox,2.688,2.686,2.983,0.021537165,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.860030945,1.109920642,0.367677345,2.012336883,0.448727108,-1.306841627,0.523988819,Bearing_Ball
Bearing_3_Ball__7.binvox,2.091,2.086,2.082,0.009081322,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.864638598,1.10209268,0.359906905,2.008573686,0.464720703,-1.299139137,0.531214436,Bearing_Ball
Bearing_3_Ball__8.binvox,3.584,3.584,3.584,0.046036681,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.850497117,1.119195851,0.350818809,2.007977979,0.453782984,-1.303160162,0.525413217,Bearing_Ball
Bearing_3_InnerRing__1.binvox,10.927,10.928,6.35,0.758255126,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.858420719,1.289027286,0.441297185,-0.692255433,0.452814359,-1.304159706,0.539304891,Bearing_InnerRing
Bearing_3_InnerRing__10.binvox,21.852,21.856,6.35,3.032742931,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.848919652,1.270410454,0.440932594,-0.688498416,0.463795464,-1.300049031,0.524105325,Bearing_InnerRing
Bearing_3_InnerRing__3.binvox,12.022,12.022,6.35,0.917755873,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.85923116,1.287851069,0.439443477,-0.681722076,0.466161991,-1.293548459,0.538733127,Bearing_InnerRing
Bearing_3_InnerRing__4.binvox,8.743,8.739,6.35,0.485172239,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.851456434,1.281673357,0.441565442,-0.69431476,0.463607629,-1.297849088,0.522958076,Bearing_InnerRing
Bearing_3_InnerRing__5.binvox,9.836,9.836,6.35,0.61434279,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.849680803,1.279269824,0.438620849,-0.678229165,0.454013062,-1.308084215,0.531605782,Bearing_InnerRing
Bearing_3_InnerRing__7.binvox,7.897,7.897,5.845,0.36450945,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.866255694,1.279151375,0.455604425,-0.69135122,0.465955866,-1.305923097,0.529224479,Bearing_InnerRing
Bearing_3_InnerRing__8.binvox,13.112,13.114,7.62,1.310264852,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.859292397,1.288562069,0.451791009,-0.687432408,0.465987964,-1.300672358,0.530566462,Bearing_InnerRing
Bearing_3_OuterRing__1.binvox,17.462,17.457,6.35,1.935696751,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.856005963,1.275611848,0.452659108,-0.693650737,0.450115416,-1.304433249,0.523626047,Bearing_OuterRing
Bearing_3_OuterRing__10.binvox,41.069,41.072,12.7,21.42218179,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.861527682,1.280608066,0.453660426,-0.693895342,0.45446091,-1.293165857,0.521942471,Bearing_OuterRing
Bearing_3_OuterRing__3.binvox,19.209,19.203,6.35,2.342327211,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.856553429,1.277578225,0.452406823,-0.68160385,0.459847167,-1.311043372,0.527264104,Bearing_OuterRing
Bearing_3_OuterRing__4.binvox,13.97,13.97,6.35,1.239271715,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.855444565,1.273221555,0.440080147,-0.693323446,0.452255437,-1.305801534,0.521247627,Bearing_OuterRing
Bearing_3_OuterRing__5.binvox,15.714,15.715,6.35,1.568103989,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.864565329,1.285589159,0.443529814,-0.683420273,0.460636886,-1.295147947,0.536070375,Bearing_OuterRing
Bearing_3_OuterRing__7.binvox,13.467,13.463,5.845,1.059734862,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.862804268,1.286351142,0.444060183,-0.678557895,0.466352336,-1.306583564,0.52585016,Bearing_OuterRing
Bearing_3_OuterRing__8.binvox,20.955,20.948,7.62,3.344915891,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.855065286,1.282256647,0.450431954,-0.691860988,0.451635104,-1.305010174,0.521654552,Bearing_OuterRing
